Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,159,20,1000
2,0,337,20,1000
3,0,515,20,1000
4,0,695,20,1000
5,0,877,20,1000
6,0,980,20,0
7,0,980,20,0
8,0,980,20,0
9,0,980,20,0
10,0,980,20,0
11,0,980,20,0
12,0,980,20,0
13,0,980,20,0
14,0,980,20,0
15,0,980,20,0
16,0,980,20,0
17,0,980,20,0
18,0,980,20,0
19,0,980,20,0
20,0,980,20,0
21,0,980,20,0
22,0,980,20,0
23,0,980,20,0
24,0,980,20,0
25,0,980,20,0
26,0,980,20,0
27,0,980,20,0
28,0,980,20,0
29,0,980,20,0
30,0,980,20,0
31,0,980,20,0
32,0,980,20,0
33,0,980,20,0
34,0,980,20,0
35,0,980,20,0
36,0,980,20,0
37,0,980,20,0
38,0,980,20,0
39,0,980,20,0
40,0,980,20,0
41,0,980,20,0
42,0,980,20,0
43,0,980,20,0
44,0,980,20,0
45,0,980,20,0
46,0,980,20,0
47,0,980,20,0
48,0,980,20,0
49,0,980,20,0
50,0,980,20,1000
51,0,980,20,1000
52,0,980,20,1000
53,0,980,20,1000
54,0,980,20,1000
55,0,980,20,1000
56,0,980,20,1000
57,0,980,20,1000
58,0,980,20,1000
59,0,980,20,1000
60,0,980,20,1000
61,20,980,0,0
62,20,980,0,0
63,20,980,0,0
64,20,980,0,0
65,112,888,0,0
66,112,888,0,0
67,276,724,0,0
68,276,724,0,0
69,450,550,0,0
70,450,550,0,0
71,548,452,0,0
72,548,452,0,0
73,548,452,0,0
74,548,452,0,0
75,548,452,0,0
76,548,452,0,0
77,548,452,0,0
78,548,452,0,0
79,548,452,0,0
80,548,452,0,0
81,548,452,0,0
82,548,452,0,0
83,548,452,0,0
84,548,452,0,0
85,548,452,0,0
86,548,452,0,0
87,548,452,0,0
88,548,452,0,0
89,548,452,0,0
