Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,120,59,1000
2,0,229,130,1000
3,0,358,181,1000
4,0,482,237,1000
5,0,596,303,1000
6,0,651,349,0
7,0,585,415,0
8,0,531,469,0
9,0,469,531,0
10,0,403,597,0
11,7,355,638,0
12,18,293,689,0
13,23,235,742,0
14,40,159,801,0
15,55,124,821,0
16,67,109,824,0
17,74,109,817,0
18,87,107,806,0
19,127,106,767,0
20,170,104,726,0
21,225,103,672,0
22,280,101,619,0
23,323,101,576,0
24,355,99,546,0
25,367,99,534,0
26,374,99,527,0
27,378,99,523,0
28,387,99,514,0
29,395,99,506,0
30,397,99,504,0
31,404,99,497,0
32,411,98,491,0
33,434,96,470,0
34,452,96,452,0
35,467,96,437,0
36,490,94,416,0
37,490,94,416,0
38,490,94,416,0
39,498,94,408,0
40,500,94,406,0
41,501,94,405,0
42,501,93,406,0
43,501,93,406,0
44,501,91,408,0
